tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0337909,6.9,108,"Comedy,Drama",nm0170719,nm0000545
tt0337921,6.5,94,"Action,Crime,Thriller",nm0254786,nm0000107
tt0337978,7.1,128,"Action,Thriller",nm0936482,nm0000246
tt0338013,8.3,108,"Drama,Romance,Sci-Fi",nm0327273,nm0000120
tt0338094,5.1,99,"Comedy,Family,Fantasy",nm0591450,nm0000552
tt0338095,6.7,91,Horror,nm0014960,nm0208426
tt0338096,5.9,86,"Drama,Music,Romance",nm0272704,nm0526019
tt0338135,7.5,99,"Comedy,Crime,Drama",nm0000780,nm0320721
tt0338188,6.5,137,"Adventure,Thriller,Western",nm0000165,nm0000169
tt0338216,5.9,124,"Drama,Romance,Sport",nm0000436,nm0051509
tt0338309,7.7,113,Drama,nm0405632,nm1270590
tt0338337,6.3,119,"Action,Mystery,Sci-Fi",nm0000247,nm0000255
tt0338348,6.6,100,"Adventure,Animation,Comedy",nm0000709,nm0000158
tt0338427,6.3,106,"Drama,Romance",nm0875793,nm0000188
tt0338459,4.3,84,"Action,Adventure,Comedy",nm0001675,nm0754512
tt0338466,5.8,118,Comedy,"nm0125803,nm0268380",nm0000354
tt0338526,6.0,131,"Action,Adventure,Fantasy",nm0814085,nm0413168
tt0338564,8.0,101,"Action,Crime,Drama","nm0490487,nm0538320",nm0490489
tt0338751,7.5,170,"Biography,Drama",nm0000217,nm0000138
tt0338763,4.6,155,"Action,Adventure,Drama","nm0297934,nm0297935",nm0297885
tt0339034,1.9,81,"Comedy,Musical,Romance",nm0410769,nm1225628
tt0339135,6.1,98,"Action,Drama,Thriller",nm0482681,nm0000241
tt0339291,6.8,108,"Adventure,Comedy,Family",nm0797869,nm0000120
tt0340163,6.5,113,"Action,Crime,Drama",nm0802807,nm0000246
tt0340377,7.6,89,"Comedy,Drama",nm0565336,nm0227759
tt0340855,7.3,109,"Biography,Crime,Drama",nm0420941,nm0000234
tt0342172,7.7,107,"Biography,Crime,Documentary",nm1285613,nm1362535
tt0342258,7.0,103,"Action,Crime,Drama",nm0504642,nm0001472
tt0342492,7.2,100,"Comedy,Drama",nm0421314,nm0509263
tt0342735,7.2,139,Drama,nm0001885,nm0397171
tt0343135,6.0,90,"Comedy,Romance",nm0357453,nm0001774
tt0343660,6.8,99,"Comedy,Drama,Romance",nm0781842,nm0001191
tt0343737,6.7,167,"Drama,History,Thriller",nm0000134,nm0000354
tt0343818,7.1,115,"Action,Mystery,Sci-Fi",nm0001639,nm0000226
tt0344510,7.6,133,"Drama,Mystery,Romance",nm0000466,nm0851582
tt0344854,6.0,94,"Adventure,Animation,Comedy",nm0000108,nm0383603
tt0345950,7.1,87,"Adventure,Animation,Comedy","nm0384864,nm0651706",nm0444786
tt0346094,7.5,110,Drama,nm0149196,nm0960230
tt0346156,6.1,106,"Action,Adventure,Mystery",nm0175775,nm0000569
tt0346336,8.5,366,"Drama,Romance",nm0320285,nm0516222
tt0346491,5.6,175,"Action,Biography,Drama",nm0000231,nm0268199
tt0346631,6.7,93,"Action,Crime,Drama",nm0708870,nm0925220
tt0347048,7.9,121,"Drama,Romance",nm0015359,nm0960379
tt0347149,8.2,119,"Adventure,Animation,Family",nm0594503,nm0047962
tt0347246,7.4,100,"Animation,Drama,Mystery",nm0651900,nm0960033
tt0347304,7.9,186,"Comedy,Drama,Musical",nm0012541,nm0006689
tt0347473,7.0,182,"Action,Comedy,Drama",nm0007134,nm0451321
tt0347618,7.1,75,"Adventure,Animation,Comedy",nm1293863,nm0407514
tt0348150,6.1,154,"Action,Adventure,Sci-Fi",nm0001741,nm0746125
tt0348333,6.7,94,Comedy,nm1301035,nm0005351
tt0348836,5.8,98,"Horror,Mystery,Thriller",nm0440913,nm0000932
tt0349205,5.9,98,"Comedy,Family",nm0506613,nm0000188
