tconst,averageRating,numVotes,runtimeMinutes,genres,directors,writers,actor
tt0279113,6.4,46066,93,"Drama,Romance",nm0037708,nm0925234,nm0000098
tt0279331,6.6,22920,118,"Crime,Drama,Thriller",nm0005421,"nm0255278,nm0043742",nm0000621
tt0279493,5.9,35505,86,"Action,Comedy",nm0002700,"nm0725983,nm0567112",nm0341176
tt0279778,6.1,20329,116,Drama,nm0451884,"nm0920385,nm0029125,nm0451884",nm0000113
tt0280030,5.8,20969,72,"Adventure,Animation,Family","nm1180460,nm0177015","nm0558721,nm0188349,nm0057381",nm0915814
tt0280380,6.1,24625,106,"Action,Crime,Drama",nm0001502,nm1023692,nm0000102
tt0280486,5.6,48814,116,"Action,Comedy,Thriller",nm0001708,"nm0329074,nm0385430,nm0725034,nm0115192",nm0000164
tt0280491,7.6,25203,111,"Drama,History,War",nm0339030,nm0339030,nm0626362
tt0280590,5.8,147318,96,"Comedy,Romance",nm0109359,"nm0445502,nm0728307,nm0379056",nm0001191
tt0280609,6.8,62472,105,"Action,Horror,Thriller",nm0551076,nm0551076,nm0675730
tt0280665,6.2,36605,114,"Crime,Drama,Mystery",nm0000361,nm0000361,nm0005381
tt0280707,7.2,90080,137,"Comedy,Drama,Mystery",nm0000265,"nm0271501,nm0000265,nm0000837",nm0001749
tt0280760,6.9,33948,98,"Comedy,Drama",nm0824882,nm0824882,nm0001085
tt0281322,6.1,33226,96,"Action,Crime,Drama",nm0001353,"nm0318429,nm0001353",nm0000648
tt0281358,7.3,214683,101,"Drama,Romance",nm0788202,"nm0817023,nm0418321",nm0601553
tt0281364,6.6,41211,94,"Action,Comedy,Crime",nm0470443,nm0000108,nm0000606
tt0281373,5.2,27668,99,"Adventure,Comedy,Family",nm0505152,"nm0467942,nm0842476,nm0325271,nm0317102,nm0357000,nm0667305",nm0000421
tt0281686,6.9,49848,92,"Comedy,Fantasy,Horror",nm0181741,"nm0487067,nm0181741",nm0132257
tt0282209,4.9,32443,86,"Fantasy,Horror,Mystery",nm0509448,"nm0004591,nm0888743,nm0364899",nm1015096
tt0282687,5.7,26929,103,"Comedy,Romance",nm0378893,"nm0791806,nm0828342",nm0001401
tt0283003,6.7,39641,101,"Comedy,Crime,Drama",nm0959774,"nm0973753,nm0975325",nm0005403
tt0283026,5.1,20626,85,"Drama,Thriller",nm0689852,"nm0092035,nm1152459",nm0103038
tt0283084,6.6,24498,90,"Drama,Family,Fantasy",nm0751221,"nm0044810,nm0509340,nm0366337",nm0088127
tt0283111,6.4,111946,92,"Comedy,Romance",nm0065608,"nm0325166,nm0905858",nm0005351
tt0283139,7.1,33082,109,Drama,nm0467225,"nm1433521,nm0232858",nm0000201
